Virtual Address: 23585; Physical Address: 65569; Value: 0
Virtual Address: 58791; Physical Address: 65703; Value: 105
Virtual Address: 46666; Physical Address: 65610; Value: 45
Virtual Address: 64475; Physical Address: 65755; Value: 4294967286
Virtual Address: 21615; Physical Address: 65647; Value: 27
Virtual Address: 41090; Physical Address: 65666; Value: 40
Virtual Address: 1771; Physical Address: 65771; Value: 4294967226
Virtual Address: 47513; Physical Address: 65689; Value: 0
Virtual Address: 39338; Physical Address: 65706; Value: 38
Virtual Address: 1390; Physical Address: 65646; Value: 1
Virtual Address: 38772; Physical Address: 65652; Value: 0
Virtual Address: 58149; Physical Address: 65573; Value: 0
Virtual Address: 7196; Physical Address: 65564; Value: 0
Virtual Address: 9123; Physical Address: 65699; Value: 4294967272
Virtual Address: 7491; Physical Address: 65603; Value: 80
Virtual Address: 62616; Physical Address: 65688; Value: 0
Virtual Address: 15436; Physical Address: 65612; Value: 0
Virtual Address: 17491; Physical Address: 65619; Value: 20
Virtual Address: 53656; Physical Address: 65688; Value: 0
Virtual Address: 26449; Physical Address: 65617; Value: 0
Virtual Address: 34935; Physical Address: 65655; Value: 29
Virtual Address: 19864; Physical Address: 65688; Value: 0
Virtual Address: 51388; Physical Address: 65724; Value: 0
Virtual Address: 15155; Physical Address: 65587; Value: 4294967244
Virtual Address: 64775; Physical Address: 65543; Value: 65
Virtual Address: 47969; Physical Address: 65633; Value: 0
Virtual Address: 16315; Physical Address: 65723; Value: 4294967278
Virtual Address: 1342; Physical Address: 65598; Value: 1
Virtual Address: 51185; Physical Address: 65777; Value: 0
Virtual Address: 6043; Physical Address: 65691; Value: 4294967270
Virtual Address: 21398; Physical Address: 65686; Value: 20
Virtual Address: 3273; Physical Address: 65737; Value: 0
Virtual Address: 9370; Physical Address: 65690; Value: 9
Virtual Address: 35463; Physical Address: 65671; Value: 4294967201
Virtual Address: 28205; Physical Address: 65581; Value: 0
Virtual Address: 2351; Physical Address: 65583; Value: 75
Virtual Address: 28999; Physical Address: 65607; Value: 81
Virtual Address: 47699; Physical Address: 65619; Value: 4294967188
Virtual Address: 46870; Physical Address: 65558; Value: 45
Virtual Address: 22311; Physical Address: 65575; Value: 4294967241
Virtual Address: 22124; Physical Address: 65644; Value: 0
Virtual Address: 22427; Physical Address: 65691; Value: 4294967206
Virtual Address: 49344; Physical Address: 65728; Value: 0
Virtual Address: 23224; Physical Address: 65720; Value: 0
Virtual Address: 5514; Physical Address: 65674; Value: 5
Virtual Address: 20504; Physical Address: 65560; Value: 0
Virtual Address: 376; Physical Address: 65656; Value: 0
Virtual Address: 2014; Physical Address: 65758; Value: 1
Virtual Address: 38700; Physical Address: 65580; Value: 0
Virtual Address: 13098; Physical Address: 65578; Value: 12
Virtual Address: 62435; Physical Address: 65763; Value: 4294967288
Virtual Address: 48046; Physical Address: 65710; Value: 46
Virtual Address: 63464; Physical Address: 65768; Value: 0
Virtual Address: 12798; Physical Address: 65790; Value: 12
Virtual Address: 51178; Physical Address: 65770; Value: 49
Virtual Address: 8627; Physical Address: 65715; Value: 108
Virtual Address: 27083; Physical Address: 65739; Value: 114
Virtual Address: 47198; Physical Address: 65630; Value: 46
Virtual Address: 44021; Physical Address: 65781; Value: 0
Virtual Address: 32792; Physical Address: 65560; Value: 0
Virtual Address: 43996; Physical Address: 65756; Value: 0
Virtual Address: 41126; Physical Address: 65702; Value: 40
Virtual Address: 64244; Physical Address: 65780; Value: 0
Virtual Address: 37047; Physical Address: 65719; Value: 45
Virtual Address: 60281; Physical Address: 65657; Value: 0
Virtual Address: 52904; Physical Address: 65704; Value: 0
Virtual Address: 7768; Physical Address: 65624; Value: 0
Virtual Address: 55359; Physical Address: 65599; Value: 15
Virtual Address: 3230; Physical Address: 65694; Value: 3
Virtual Address: 44813; Physical Address: 65549; Value: 0
Virtual Address: 4116; Physical Address: 65556; Value: 0
